"Season","Week","Tm_ID","Opp_ID","Loc","Result","Notes","Date","Playoff","Tm_score","Opp_score","Opp_Div","Score_diff","Win","Cal_Week","Multi_Week","Excl_Harbin","Excl_Elo","Opp_Reg","nonOHSAA","nonOHSAA_div","Tm_lon","Tm_lat","Opp_lon","Opp_lat","trav_est"
"2013",8,"10123","618","H","L","",2013-10-18,0,12,27,7,-15,0,"41",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",9,"10123","10019","A","L","",2013-10-25,0,22,48,7,-26,0,"42",NA,0,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",10,"10123","10119","H","L","",2013-11-01,0,14,33,7,-19,0,"43",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",11,"10123","10082","A","L*","",2013-11-08,0,20,24,7,-4,0,"44",NA,1,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",1,"10124","10065","A","L","",2013-08-30,0,20,56,7,-36,0,"34",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",2,"10124","10082","H","W","",2013-09-06,0,41,14,7,27,1,"35",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",3,"10124","10122","A","L","",2013-09-13,0,20,40,7,-20,0,"36",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",5,"10124","10067","H","L","",2013-09-27,0,13,36,7,-23,0,"38",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",6,"10124","10097","A","W","",2013-10-04,0,39,35,7,4,1,"39",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",7,"10124","10108","H","W","",2013-10-11,0,27,0,7,27,1,"40",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",8,"10124","10117","H","L","ot",2013-10-18,0,38,44,7,-6,0,"41",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",9,"10124","10018","A","L","",2013-10-25,0,22,50,7,-28,0,"42",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
