OHSAA.ID,DoE_IRN,School District,Status,Total,Male%,HS_Students,OHSAA_Est,nonWhite%,EconDis%, Cost ,Direction,FootballTwitter,Census_GeoID,Median Inc,Total POP,Urban,Suburban,Rural
312,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,250 ",6 miles east of downtown Toledo,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
314,4861,Cardington-Lincoln Local,Open,1049,49.40%,277,103,5.00%,38.10%,,38 miles north of downtown Columbus,,3904879," $52,297 ",2683,0.0%,0.0%,100.0%
316,4887,Carey Exempted Village Schools,Open,805,53.30%,288,116,5.60%,28.10%,,51 miles south of downtown Toledo,,3904526," $56,059 ",2331,0.0%,68.8%,31.2%
318,4911,Carlisle Local,Open,1593,50.20%,418,173,5.30%,28.60%,,15 miles southwest of downtown Dayton,,3905041," $54,977 ",3820,92.1%,0.0%,7.9%
320,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$8,500 ",6 miles east of downtown Dayton,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
322,5017,Carrollton Exempted Village,Open,1961,51.20%,577,233,3.60%,49.00%,,23 miles southeast of downtown Canton,,3904527," $47,765 ",7849,0.0%,20.2%,79.8%
324,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$8,400 ",25 miles east of downtown Dayton,@CCIrishFootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
326,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,49 miles southeast of downtown Canton,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
328,5173,Cedar Cliff Local,Open,603,48.60%,180,70,11.90%,18.20%,,22 miles east of downtown Dayton,,3904725," $67,232 ",1629,0.0%,47.2%,52.8%
330,5207,Celina City,Open,2653,51.60%,870,340,12.80%,42.00%,,60 miles northwest of downtown Dayton,,3910030," $50,556 ",9079,0.0%,58.7%,41.3%
332,68536,Columbus City School District,Open,50304,51.40%,13226,5604,77.00%,100.00%,,9 miles northwest of downtown Columbus,@Chsstarsfb17,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
334,5298,Centerburg Local,Open,1089,50.40%,302,124,8.00%,20.60%,,29 miles northeast of downtown Columbus,@CHSTrojansFB,3904782," $71,190 ",2389,0.0%,0.0%,100.0%
336,5322,Centerville City,Open,8223,52.00%,2743,1062,24.10%,14.50%,,11 miles south of downtown Dayton,@CentervilleElk,3904373," $72,249 ",26185,100.0%,0.0%,0.0%
340,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$7,500 ",5 miles west of downtown Canton,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
342,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,450 ",3 miles north of downtown Toledo,@ToledoCCHS_FB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
343,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$8,650 ",6 miles southwest of downtown Toledo,@tcseaglesFB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
344,NA,Akron City,Closed 2006,21367,51.10%,6531,2447,66.70%,100.00%,,NA,,3904348," $34,562 ",91279,100.0%,0.0%,0.0%
345,142018,South-Western City,Open,22839,52.00%,6850,2800,39.80%,57.20%,,10 miles southwest of downtown Columbus,,3904480," $52,317 ",55630,92.8%,1.8%,5.4%
346,5751,Chagrin Falls Exempted Village,Open,2000,50.50%,780,283,8.70%,4.50%,,18 miles east of downtown Cleveland,,3904528," $99,200 ",4436,93.4%,0.0%,6.6%
348,5777,Southington Local,Open,487,51.30%,150,63,6.00%,47.00%,,22 miles northwest of downtown Youngstown,,3905023," $59,243 ",1535,2.3%,0.0%,97.7%
350,136101,Twinsburg City,Open,4150,52.10%,1283,500,42.00%,16.60%,,19 miles north of downtown Akron,@TwinsburgFB,3905007," $72,135 ",10244,98.5%,0.0%,1.5%
352,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$10,850 ",2 miles south of downtown Dayton,@CJEAGLESFB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
354,5819,Champion Local,Open,1345,49.10%,406,159,5.60%,27.20%,,20 miles northwest of downtown Youngstown,,3905013," $53,779 ",4065,61.6%,0.0%,38.4%
356,NA,Private,????,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,12 miles southeast of downtown Cleveland,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
358,NA,Youngstown City,????,5224,52.70%,1421,566,85.50%,100.00%,,4 miles west of downtown Youngstown,,3904516," $25,063 ",34182,98.2%,0.0%,1.8%
360,5876,Chardon Local,Open,2837,50.90%,988,370,7.00%,18.40%,,27 miles east of downtown Cleveland,@topperfb,3904718," $72,244 ",8767,0.1%,42.3%,57.6%
362,6098,Chesapeake Union Exempted Village,Open,1374,53.10%,370,155,5.20%,59.80%,,111 miles south of downtown Columbus,,3904529," $46,042 ",3418,48.4%,0.0%,51.6%
364,6296,Chillicothe City,Open,2833,52.10%,869,368,23.30%,100.00%,,45 miles south of downtown Columbus,,3904374," $37,773 ",11273,0.0%,89.8%,10.2%
366,6312,Chippewa Local,Open,1259,51.80%,394,166,4.40%,28.50%,,13 miles southwest of downtown Akron,,3905053," $55,581 ",3790,66.4%,0.0%,33.6%
368,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$24,555 ",13 miles northeast of downtown Cincinnati,@FootballCCDS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
369,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$16,795 ",17 miles northeast of downtown Cincinnati,@chcafootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
370,6320,Circleville City,Open,2184,51.10%,559,217,9.80%,69.30%,,27 miles south of downtown Columbus,,3904376," $41,681 ",6659,0.0%,91.7%,8.3%
372,6494,Oregon City,Open,3541,50.70%,1136,435,20.20%,23.40%,,8 miles east of downtown Toledo,@CHS_EaglesFB,3904460," $55,574 ",10125,75.6%,0.0%,24.4%
376,6528,Claymont City,Open,1958,53.80%,509,223,6.60%,99.90%,,28 miles south of downtown Canton,,3904377," $36,178 ",5277,0.0%,69.4%,30.6%
378,6551,Clear Fork Valley Local,Open,1648,51.30%,493,200,4.70%,31.60%,,53 miles northeast of downtown Columbus,@CFColtsFB,3904941," $55,089 ",4210,0.0%,0.0%,100.0%
380,6619,Clearview Local,Open,1618,50.60%,495,191,57.80%,100.00%,,27 miles west of downtown Cleveland,,3904813," $32,435 ",2749,100.0%,0.0%,0.0%
382,6635,Clermont Northeastern Local,Open,1432,53.60%,421,176,5.90%,36.70%,,23 miles east of downtown Cincinnati,,3904632," $53,933 ",5086,11.0%,0.0%,89.0%
384,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$8,500 ",5 miles southeast of downtown Cleveland,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
385,15842,Cleveland Heights-University Heights City,Open,5224,51.50%,1710,688,82.90%,100.00%,,8 miles east of downtown Cleveland,,3904379," $55,579 ",27003,100.0%,0.0%,0.0%
388,6734,Clinton-Massie Local,Open,1796,54.30%,548,228,4.20%,21.30%,,26 miles southeast of downtown Dayton,@MassieFootball,3904639," $67,694 ",3958,0.0%,0.0%,100.0%
390,6759,Cloverleaf Local,Open,2341,51.60%,695,279,5.80%,1.20%,,24 miles west of downtown Akron,,3904848," $61,119 ",8237,0.0%,45.6%,54.4%
392,6791,Clyde-Green Springs Exempted Village,Open,2188,51.60%,684,275,15.10%,40.30%,,40 miles southeast of downtown Toledo,,3910020," $52,167 ",5321,0.0%,51.9%,48.1%
394,6858,Coldwater Exempted Village,Open,1389,53.20%,466,176,4.30%,15.80%,,56 miles northwest of downtown Dayton,,3904531," $57,681 ",2550,0.0%,71.9%,28.1%
396,6890,Northwest Local,Open,8954,52.90%,2649,1068,48.90%,49.80%,,12 miles northwest of downtown Cincinnati,@ColerainFtball,3904736," $61,268 ",30985,95.1%,0.0%,4.9%
398,6940,Cleveland Municipal,????,38666,51.60%,11963,4847,84.30%,100.00%,,8 miles northeast of downtown Cleveland,,3904378," $26,647 ",208325,100.0%,0.0%,0.0%
400,6965,Colonel Crawford Local,Open,942,49.50%,264,101,3.60%,35.50%,,59 miles north of downtown Columbus,,3904651," $56,662 ",2436,0.0%,12.8%,87.2%
402,6841,Dayton City,Open,13093,51.10%,3838,1554,74.50%,100.00%,,5 miles west of downtown Dayton,,3904384," $28,347 ",80910,100.0%,0.0%,0.0%
404,7021,Columbia Local,Open,851,50.40%,271,100,6.00%,26.10%,,20 miles southwest of downtown Cleveland,@_CHSFootball,3904814," $68,981 ",2585,24.9%,0.0%,75.1%
406,7054,Tiffin City,Open,2705,51.80%,835,318,10.60%,40.10%,,43 miles southeast of downtown Toledo,,3904489," $42,984 ",9835,0.0%,87.6%,12.4%
408,7062,Columbiana Exempted Village,Open,1034,50.80%,310,117,6.90%,28.00%,,17 miles south of downtown Youngstown,,3904532," $51,471 ",3707,0.0%,85.9%,14.1%
410,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$23,700 ",9 miles northeast of downtown Columbus,@CA__Football,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
412,7104,Columbus Grove Local,Open,838,52.00%,271,112,7.90%,24.60%,,58 miles southwest of downtown Toledo,,3904931," $56,281 ",2043,0.0%,0.0%,100.0%
416,7211,Conneaut Area City,Open,1621,49.70%,412,157,9.40%,59.10%,,60 miles north of downtown Youngstown,@conneautfb,3904381," $34,838 ",6411,0.0%,82.3%,17.7%
418,7245,Conotton Valley Union Local,Open,414,55.10%,102,48,0.70%,53.90%,,26 miles southeast of downtown Canton,,3904754," $47,778 ",2031,0.0%,0.0%,100.0%
