OHSAA.ID,2018_Full,2017_Full,2016_Full,2015_Full,2014_Full,2013_Full,2012_Full,2011_Full,2010_Full,2009_Full,2008_Full,2007_Full,2018_Main,2017_Main,2016_Main,2015_Main,2014_Main,2013_Main,2012_Main,2011_Main,2010_Main,2009_Main,2008_Main,2007_Main
768,MHNG VAL,MHNG VAL,ITCL - BLUE,ITCL - BLUE,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,MHNG VAL,MHNG VAL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL
906,MHNG VAL,MHNG VAL,ITCL - BLUE,ITCL - BLUE,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,MHNG VAL,MHNG VAL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL
992,MHNG VAL,MHNG VAL,ITCL - BLUE,ITCL - BLUE,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,MHNG VAL,MHNG VAL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL
996,MHNG VAL,MHNG VAL,ITCL - BLUE,ITCL - BLUE,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,MHNG VAL,MHNG VAL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL
1044,MHNG VAL,MHNG VAL,ITCL - BLUE,ITCL - BLUE,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,MHNG VAL,MHNG VAL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL
1478,MHNG VAL,MHNG VAL,ITCL - RED,ITCL - RED,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,ITCL - UPPER,MHNG VAL,MHNG VAL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL
1630,MHNG VAL,MHNG VAL,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,PORT TRL - CNTY,MHNG VAL,MHNG VAL,PORT TRL,PORT TRL,PORT TRL,PORT TRL,PORT TRL,PORT TRL,PORT TRL,PORT TRL,PORT TRL,PORT TRL
1668,MHNG VAL,MHNG VAL,ITCL - BLUE,ITCL - BLUE,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,ITCL - LOWER,MHNG VAL,MHNG VAL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL,ITCL
460,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL,MIA VAL,MET BUCK,MET BUCK,MET BUCK,MET BUCK,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MET BUCK,MET BUCK,MET BUCK,MET BUCK,MIA VAL,MIA VAL
886,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL - GRAY,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL,MIA VAL
