"","Season","Week",""
"888",2017,2,0
"1032",2017,2,0.27
"1078",2017,2,0.09
"1086",2017,2,0.63
"1140",2017,2,0.17
"1342",2017,2,0.02
"1612",2017,2,0.14
"1624",2017,2,0.35
"1632",2017,2,0.06
"1656",2017,2,0
"1672",2017,2,0.03
"1674",2017,2,0.05
"1698",2017,2,0.05
"1700",2017,2,0.04
"1736",2017,2,0.34
"1741",2017,2,0.09
"118",2017,2,0.25
"192",2017,2,0.78
"320",2017,2,0.08
"364",2017,2,0.57
"516",2017,2,0.44
"548",2017,2,0.01
"690",2017,2,0.28
"696",2017,2,0.41
"810",2017,2,0.33
"842",2017,2,0.5
"872",2017,2,0.11
"884",2017,2,0.01
"904",2017,2,0.09
"1422",2017,2,0.14
"1484",2017,2,0
"1520",2017,2,0
"1526",2017,2,0.35
"1528",2017,2,0.01
"1552",2017,2,0.34
"1554",2017,2,0.17
"1664",2017,2,0.01
"1719",2017,2,0.81
"1720",2017,2,0.02
"1746",2017,2,0.02
"112",2017,2,0.29
"146",2017,2,0.49
"274",2017,2,0.65
"276",2017,2,0.4
"304",2017,2,0.53
"360",2017,2,0.36
"390",2017,2,0.01
"428",2017,2,0.15
"478",2017,2,0.36
"634",2017,2,0.01
"698",2017,2,0
"736",2017,2,0.32
"802",2017,2,0.08
"902",2017,2,0.26
"964",2017,2,0.11
"994",2017,2,0.02
"1120",2017,2,0
"1158",2017,2,0.01
"1180",2017,2,0.33
"1281",2017,2,0.05
"1288",2017,2,0
"1384",2017,2,0.42
"1472",2017,2,0.2
"1522",2017,2,0.02
"1658",2017,2,0.04
"1724",2017,2,0.7
"168",2017,2,0.18
"242",2017,2,0.04
"342",2017,2,0.52
"384",2017,2,0.05
"392",2017,2,0.21
"398",2017,2,0
"464",2017,2,0.01
"506",2017,2,0.02
"652",2017,2,0.89
"728",2017,2,0.43
"784",2017,2,0.01
"856",2017,2,0.04
"880",2017,2,0
"926",2017,2,0.02
"940",2017,2,0.33
"944",2017,2,0.01
"976",2017,2,0.03
"1160",2017,2,0.06
"1224",2017,2,0.28
"1240",2017,2,0.02
"1320",2017,2,0.25
"1324",2017,2,0
"1394",2017,2,0.4
"1398",2017,2,0.03
"1410",2017,2,0.04
"1571",2017,2,0.54
"1734",2017,2,0.09
"144",2017,2,0.46
"186",2017,2,0.59
"188",2017,2,0.45
"218",2017,2,0.36
"224",2017,2,0.12
"286",2017,2,0.13
"332",2017,2,0.02
"472",2017,2,0.46
"502",2017,2,0.46
"666",2017,2,0.31
"686",2017,2,0.18
"718",2017,2,0.02
"748",2017,2,0.08
"751",2017,2,0.74
"762",2017,2,0.38
"956",2017,2,0.04
"962",2017,2,0.32
"982",2017,2,0.08
"1022",2017,2,0.01
"1106",2017,2,0.49
"1348",2017,2,0.6
"1420",2017,2,0.15
"1436",2017,2,0
"1544",2017,2,0.74
"1618",2017,2,0
"1680",2017,2,0.01
"1750",2017,2,0.17
"132",2017,2,0.37
"158",2017,2,0.21
"184",2017,2,0.03
"292",2017,2,0.1
"330",2017,2,0.02
"352",2017,2,0.16
"402",2017,2,0.18
"476",2017,2,0.17
"526",2017,2,0.21
"608",2017,2,0.27
"658",2017,2,0.01
"678",2017,2,0
"998",2017,2,0.73
"1062",2017,2,0
"1074",2017,2,0.23
"1108",2017,2,0.14
"1164",2017,2,0.09
"1235",2017,2,0.02
"1258",2017,2,0.23
"1330",2017,2,0
"1412",2017,2,0.04
"1534",2017,2,0.23
"1550",2017,2,0.99
"1616",2017,2,0.12
"1660",2017,2,0
"1714",2017,2,0.21
"1732",2017,2,0.02
"176",2017,2,0.2
"294",2017,2,0.22
"310",2017,2,0.28
"322",2017,2,0.2
"416",2017,2,0
"448",2017,2,0.08
"500",2017,2,0.14
"514",2017,2,0
"584",2017,2,0
"644",2017,2,0.6
"702",2017,2,0
"738",2017,2,0.59
"774",2017,2,0.01
"828",2017,2,0.07
"1046",2017,2,0.01
"1162",2017,2,0.29
"1246",2017,2,0.84
"1264",2017,2,0.44
"1392",2017,2,0.07
"1432",2017,2,0.06
"1448",2017,2,0.21
"1488",2017,2,0
"1496",2017,2,0
"1500",2017,2,0.43
"1580",2017,2,0
"1678",2017,2,0.01
"166",2017,2,0.02
"190",2017,2,0.38
"198",2017,2,0.31
"262",2017,2,0
"272",2017,2,0.01
"346",2017,2,0.15
"378",2017,2,0.08
"380",2017,2,0.13
"570",2017,2,0.07
"590",2017,2,0.51
"620",2017,2,0.01
"712",2017,2,0.25
"804",2017,2,0.08
"808",2017,2,0.02
"914",2017,2,0.1
"1012",2017,2,0.16
"1080",2017,2,0.09
"1206",2017,2,0.08
"1208",2017,2,0.1
"1266",2017,2,0
"1314",2017,2,0.36
"1416",2017,2,0.78
"1574",2017,2,0.03
"1596",2017,2,0.01
"1598",2017,2,0.01
"1620",2017,2,0.01
"1634",2017,2,0.1
"114",2017,2,0.03
"212",2017,2,0.01
"232",2017,2,0.24
"300",2017,2,0.46
"370",2017,2,0.19
"376",2017,2,0.21
"482",2017,2,0
"554",2017,2,0.18
"622",2017,2,0
"758",2017,2,0.58
