"","Season","Week","0","1","2","3","4","5","6"
"292",2017,1,0.7,0.12,0.09,0.04,0.03,0.01,0.01
"330",2017,1,0.88,0.08,0.02,0.01,0,0.01,0
"352",2017,1,0.76,0.17,0.05,0.02,0,0,0
"402",2017,1,0.87,0.08,0.03,0.01,0.01,0,0
"476",2017,1,0.25,0.54,0.14,0.05,0.01,0.01,0
"526",2017,1,0.68,0.15,0.08,0.07,0.02,0,0
"608",2017,1,0.27,0.39,0.2,0.11,0.03,0,0
"658",2017,1,0.92,0.05,0.01,0.01,0.01,0,0
"678",2017,1,0.94,0.03,0,0.01,0.01,0.01,0
"998",2017,1,0.75,0.15,0.07,0.03,0,0,0
"1062",2017,1,0.9,0.07,0.02,0.01,0,0,0
"1074",2017,1,0.32,0.31,0.24,0.08,0.03,0.01,0.01
"1108",2017,1,0.33,0.34,0.22,0.06,0.04,0.01,0
"1164",2017,1,0.9,0.06,0.02,0.01,0.01,0,0
"1235",2017,1,0.92,0.07,0.01,0,0,0,0
"1258",2017,1,0.81,0.1,0.04,0.02,0.01,0.02,0
"1330",2017,1,1,0,0,0,0,0,0
"1412",2017,1,0.98,0.01,0.01,0,0,0,0
"1534",2017,1,0.44,0.2,0.18,0.06,0.1,0,0.02
"1550",2017,1,0.18,0.16,0.13,0.14,0.12,0.15,0.12
"1616",2017,1,0.71,0.17,0.05,0.04,0.03,0,0
"1660",2017,1,1,0,0,0,0,0,0
"1714",2017,1,0.47,0.32,0.12,0.06,0.02,0.01,0
"1732",2017,1,1,0,0,0,0,0,0
"176",2017,1,0.87,0.12,0.01,0,0,0,0
"294",2017,1,0.39,0.44,0.14,0.02,0,0.01,0
"310",2017,1,0.55,0.09,0.11,0.09,0.08,0.04,0.04
"322",2017,1,0.52,0.32,0.1,0.05,0,0.01,0
"416",2017,1,0.88,0.05,0.05,0.02,0,0,0
"448",2017,1,1,0,0,0,0,0,0
"500",2017,1,0.92,0.07,0.01,0,0,0,0
"514",2017,1,1,0,0,0,0,0,0
"584",2017,1,0.95,0.05,0,0,0,0,0
"644",2017,1,0.69,0.27,0.03,0.01,0,0,0
"702",2017,1,0.96,0.04,0,0,0,0,0
"738",2017,1,0.2,0.33,0.25,0.12,0.04,0.04,0.02
"774",2017,1,0.99,0,0,0.01,0,0,0
"828",2017,1,0.78,0.15,0.04,0.02,0.01,0,0
"1046",2017,1,0.92,0.07,0.01,0,0,0,0
"1162",2017,1,0.61,0.21,0.16,0.02,0,0,0
"1246",2017,1,0.02,0.18,0.29,0.23,0.1,0.08,0.1
"1264",2017,1,0.58,0.22,0.1,0.03,0.02,0.04,0.01
"1392",2017,1,0.83,0.14,0.03,0,0,0,0
"1432",2017,1,0.89,0.07,0.03,0.01,0,0,0
"1448",2017,1,0.72,0.23,0.02,0.03,0,0,0
"1488",2017,1,0.11,0.25,0.19,0.18,0.09,0.07,0.11
"1496",2017,1,0.69,0.21,0.05,0.02,0.02,0.01,0
"1500",2017,1,0.19,0.4,0.34,0.05,0.01,0.01,0
"1580",2017,1,0.86,0.04,0.02,0.05,0.02,0,0.01
"1678",2017,1,0.88,0.05,0.02,0.04,0.01,0,0
"166",2017,1,0.89,0.07,0.03,0,0.01,0,0
"190",2017,1,0.19,0.33,0.24,0.12,0.08,0.02,0.02
"198",2017,1,0.58,0.27,0.13,0.02,0,0,0
"262",2017,1,0.98,0.02,0,0,0,0,0
"272",2017,1,0.88,0.08,0.03,0,0,0,0.01
"346",2017,1,0.35,0.28,0.16,0.13,0.01,0.04,0.03
"378",2017,1,0.8,0.11,0.06,0.02,0,0,0.01
"380",2017,1,0.91,0.07,0.02,0,0,0,0
"570",2017,1,0.98,0.02,0,0,0,0,0
"590",2017,1,0.45,0.34,0.15,0.05,0,0,0.01
"620",2017,1,0.93,0.05,0.01,0.01,0,0,0
"712",2017,1,0.48,0.39,0.13,0,0,0,0
"804",2017,1,0.7,0.2,0.03,0.06,0,0.01,0
"808",2017,1,0.76,0.16,0.05,0.03,0,0,0
"914",2017,1,0.92,0.06,0.02,0,0,0,0
"1012",2017,1,0.32,0.2,0.24,0.16,0.03,0.03,0.02
"1080",2017,1,0.77,0.09,0.05,0.04,0.02,0.03,0
"1206",2017,1,0.84,0.11,0.02,0.03,0,0,0
"1208",2017,1,0.51,0.37,0.08,0.03,0.01,0,0
"1266",2017,1,0.85,0.05,0.05,0.05,0,0,0
"1314",2017,1,0.26,0.38,0.2,0.06,0.06,0.02,0.02
"1416",2017,1,0.03,0.14,0.18,0.17,0.17,0.13,0.18
"1574",2017,1,0.98,0.02,0,0,0,0,0
"1596",2017,1,0.99,0,0.01,0,0,0,0
"1598",2017,1,0.99,0,0.01,0,0,0,0
"1620",2017,1,0.9,0.03,0.04,0.01,0.01,0.01,0
"1634",2017,1,0.76,0.16,0.06,0.01,0.01,0,0
"114",2017,1,0.73,0.15,0.07,0.03,0.01,0,0.01
"212",2017,1,0.53,0.18,0.1,0.11,0.07,0,0.01
"232",2017,1,0.61,0.17,0.11,0.07,0.03,0.01,0
"300",2017,1,0.38,0.21,0.15,0.1,0.13,0.02,0.01
"370",2017,1,0.8,0.13,0.04,0.02,0.01,0,0
"376",2017,1,0.56,0.22,0.12,0.06,0.03,0,0.01
"482",2017,1,0.99,0.01,0,0,0,0,0
"554",2017,1,0.65,0.16,0.1,0.05,0.03,0.01,0
"622",2017,1,0.99,0.01,0,0,0,0,0
"758",2017,1,0.36,0.3,0.14,0.15,0.05,0,0
"788",2017,1,0.87,0.05,0.07,0,0.01,0,0
"830",2017,1,0.96,0.03,0.01,0,0,0,0
"870",2017,1,0.41,0.21,0.18,0.08,0.09,0.03,0
"882",2017,1,1,0,0,0,0,0,0
